age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,y
50,blue-collar,married,tertiary,no,5454,yes,no,cellular,jan,391,5,-1,4,unknown,1
43,self-employed,married,secondary,no,-1917,no,no,telephone,mar,416,10,-1,1,unknown,0
88,technician,married,secondary,no,-1325,no,no,telephone,jan,112,1,-1,4,unknown,0
46,management,married,secondary,no,3274,yes,no,cellular,oct,312,6,-1,9,unknown,0
23,admin.,single,secondary,no,251,yes,no,cellular,may,231,3,-1,5,unknown,0
54,technician,married,secondary,no,-1400,no,no,cellular,may,479,6,54,8,unknown,0
80,entrepreneur,married,secondary,no,4562,no,yes,telephone,aug,26,7,26,7,other,1
32,services,divorced,secondary,no,2214,no,no,cellular,jun,112,1,-1,1,failure,1
54,technician,single,secondary,no,360,yes,no,cellular,aug,0,13,-1,0,unknown,0
28,unemployed,single,secondary,no,-1321,yes,no,cellular,dec,240,6,-1,3,unknown,0
71,entrepreneur,single,unknown,no,5704,yes,no,cellular,apr,537,6,-1,9,unknown,1
55,blue-collar,divorced,secondary,no,1146,yes,no,cellular,nov,214,3,41,1,unknown,0
43,services,married,secondary,no,4274,no,yes,telephone,jul,234,14,59,0,unknown,1
35,technician,single,primary,yes,3166,yes,yes,cellular,may,297,12,-1,9,unknown,1
62,services,single,secondary,no,54,no,no,cellular,dec,204,7,-1,1,unknown,0
70,blue-collar,married,tertiary,no,72,no,no,telephone,jun,271,5,-1,3,unknown,0
91,blue-collar,married,primary,no,4382,no,no,cellular,feb,275,7,-1,7,unknown,1
52,unemployed,married,secondary,no,4418,no,no,cellular,apr,102,14,-1,0,unknown,1
30,unemployed,single,secondary,no,-2929,yes,no,cellular,nov,207,4,-1,1,unknown,0
82,student,single,primary,no,2410,no,no,telephone,jul,324,10,-1,7,unknown,1
67,self-employed,single,tertiary,no,933,no,no,cellular,jul,350,13,-1,0,other,0
72,management,married,secondary,no,-1073,no,no,telephone,sep,402,11,22,7,unknown,0
25,retired,married,tertiary,no,1776,yes,no,cellular,mar,267,13,0,5,unknown,1
42,retired,married,secondary,no,-1769,yes,no,cellular,feb,270,14,-1,2,unknown,0
77,technician,married,tertiary,no,174,yes,yes,cellular,jun,325,1,-1,6,unknown,0
82,technician,divorced,secondary,no,-557,yes,no,cellular,dec,137,4,19,3,unknown,0
51,blue-collar,single,secondary,no,100,yes,no,cellular,feb,131,3,-1,9,unknown,1
80,services,divorced,tertiary,no,1043,yes,no,telephone,sep,203,8,32,4,unknown,0
83,blue-collar,single,secondary,no,-1034,no,no,cellular,dec,41,6,-1,7,unknown,0
48,blue-collar,divorced,secondary,no,4661,no,no,cellular,feb,277,1,41,2,unknown,1
88,services,married,unknown,no,2285,no,no,telephone,feb,367,8,-1,8,unknown,1
40,technician,married,secondary,no,5148,yes,no,cellular,nov,121,2,14,2,unknown,1
36,blue-collar,married,secondary,no,848,no,no,cellular,feb,281,6,-1,5,other,1
71,retired,married,secondary,no,-7,no,no,cellular,sep,132,6,15,8,unknown,0
67,entrepreneur,married,tertiary,no,5069,yes,no,cellular,oct,78,13,-1,9,other,1
28,blue-collar,married,tertiary,no,-72,no,yes,telephone,apr,508,10,-1,7,unknown,0
82,admin.,divorced,secondary,no,808,no,no,telephone,apr,80,9,5,6,unknown,1
33,blue-collar,married,secondary,no,2784,no,no,cellular,jul,41,12,-1,6,failure,1
80,retired,divorced,primary,no,-1523,yes,no,telephone,jul,250,3,-1,4,unknown,0
18,student,single,secondary,no,2765,no,no,cellular,nov,258,4,-1,6,unknown,1
80,blue-collar,single,tertiary,no,2483,no,no,telephone,aug,313,11,2,5,success,1
79,retired,single,secondary,no,3993,no,no,telephone,dec,500,11,24,5,unknown,1
78,admin.,married,primary,no,3158,yes,no,cellular,mar,111,1,-1,3,success,1
69,technician,single,secondary,no,4060,no,yes,cellular,apr,139,4,1,3,unknown,1
54,unknown,married,secondary,no,957,no,no,telephone,mar,445,4,39,1,unknown,1
73,blue-collar,divorced,tertiary,no,-698,yes,no,cellular,aug,351,1,-1,7,unknown,0
39,blue-collar,married,primary,no,5842,yes,no,cellular,jan,332,10,-1,0,unknown,1
78,technician,married,secondary,no,-2159,no,yes,cellular,nov,137,1,-1,1,success,0
61,services,single,tertiary,no,-1938,no,no,cellular,oct,378,12,-1,2,unknown,0
53,unemployed,single,tertiary,no,2443,no,no,cellular,dec,332,9,-1,1,unknown,1
57,self-employed,married,primary,no,4775,yes,no,cellular,dec,247,11,-1,7,success,1
62,admin.,single,tertiary,no,1617,no,no,telephone,jan,138,7,13,1,failure,1
20,blue-collar,married,secondary,no,3398,yes,no,cellular,sep,235,14,-1,4,unknown,1
28,retired,single,tertiary,no,-3191,yes,no,cellular,jul,451,4,-1,7,unknown,0
37,blue-collar,married,primary,no,101,yes,no,cellular,sep,67,8,-1,5,success,0
26,entrepreneur,married,secondary,no,-2923,no,no,cellular,nov,108,1,-1,5,unknown,0
52,management,married,secondary,no,2917,yes,no,cellular,jul,132,12,9,3,unknown,1
70,admin.,married,secondary,no,-2204,yes,no,cellular,jan,162,8,-1,4,unknown,0
69,student,married,secondary,no,-1611,yes,no,cellular,nov,218,3,43,7,unknown,0
54,blue-collar,married,secondary,no,2331,no,yes,cellular,jun,354,12,-1,4,other,1
84,technician,married,secondary,no,3536,yes,no,cellular,jun,285,14,-1,6,unknown,1
62,services,married,primary,yes,850,yes,no,cellular,aug,229,1,-1,8,failure,0
24,technician,married,secondary,no,2454,yes,no,telephone,nov,259,12,-1,2,unknown,1
77,management,married,secondary,no,2383,yes,no,cellular,jul,307,11,-1,1,unknown,1
62,management,single,tertiary,no,726,yes,no,telephone,mar,0,5,-1,4,unknown,0
67,unknown,divorced,unknown,no,-1208,no,no,cellular,sep,370,9,-1,3,failure,0
62,unknown,married,secondary,no,2443,yes,no,cellular,aug,104,11,-1,1,unknown,1
61,technician,divorced,primary,no,2549,yes,no,cellular,jan,158,7,-1,7,unknown,1
25,admin.,married,secondary,no,3167,yes,yes,cellular,jul,268,10,-1,6,unknown,1
61,management,married,secondary,no,1887,no,no,cellular,oct,209,1,-1,6,unknown,1
80,self-employed,single,tertiary,no,-1371,no,yes,telephone,nov,288,13,-1,7,unknown,0
41,blue-collar,single,secondary,no,2719,yes,no,telephone,apr,240,13,10,4,unknown,1
65,technician,single,primary,no,1197,yes,no,cellular,jul,179,3,2,5,unknown,0
20,technician,married,primary,no,138,no,no,telephone,oct,434,7,-1,2,unknown,1
45,admin.,single,secondary,no,552,no,no,cellular,aug,319,4,-1,7,unknown,0
52,management,married,tertiary,no,-319,yes,no,cellular,jun,262,6,-1,9,unknown,0
94,blue-collar,married,secondary,no,3155,yes,no,telephone,mar,317,4,-1,8,failure,1
34,retired,married,secondary,no,-1920,no,no,cellular,jan,121,13,50,4,failure,0
39,student,divorced,secondary,no,-986,no,no,cellular,sep,524,10,16,0,unknown,0
49,student,married,tertiary,no,477,no,no,cellular,dec,68,12,-1,8,unknown,0
95,technician,single,secondary,no,4750,no,yes,cellular,aug,236,12,-1,5,unknown,1
84,blue-collar,single,tertiary,no,3519,yes,no,cellular,oct,180,11,-1,7,unknown,1
20,management,single,tertiary,no,-2410,yes,no,cellular,sep,175,3,-1,3,unknown,0
36,retired,single,secondary,no,4173,yes,no,cellular,may,156,12,-1,8,unknown,1
82,technician,single,tertiary,no,4169,yes,no,telephone,jul,112,11,-1,8,unknown,1
22,entrepreneur,married,secondary,no,-1383,no,yes,telephone,apr,386,2,-1,0,unknown,0
84,blue-collar,married,secondary,no,-4347,no,no,cellular,mar,51,2,-1,5,unknown,0
39,entrepreneur,married,primary,no,1041,no,no,cellular,aug,358,11,-1,4,unknown,0
89,admin.,married,secondary,yes,3669,no,no,cellular,aug,311,6,-1,6,unknown,1
40,blue-collar,married,secondary,no,4701,yes,no,cellular,dec,167,5,-1,2,unknown,1
51,services,married,primary,no,-716,no,no,cellular,mar,295,6,-1,0,unknown,0
69,admin.,married,primary,no,5054,yes,no,cellular,apr,198,13,-1,2,success,1
27,admin.,married,secondary,no,-3701,no,no,telephone,feb,66,6,-1,5,unknown,0
61,admin.,married,secondary,no,390,no,no,cellular,dec,67,6,51,2,unknown,0
57,technician,divorced,secondary,no,282,no,no,cellular,oct,312,6,-1,4,failure,0
79,retired,married,secondary,no,3735,yes,no,cellular,apr,304,1,-1,3,unknown,1
95,admin.,divorced,unknown,no,4056,yes,yes,telephone,dec,254,1,-1,6,unknown,1
69,management,divorced,tertiary,no,3299,yes,no,cellular,sep,165,6,-1,4,unknown,1
49,student,married,primary,no,-1771,no,yes,telephone,jun,193,1,-1,1,unknown,0
49,blue-collar,single,secondary,no,3098,yes,no,telephone,may,174,11,2,6,unknown,1
50,blue-collar,single,secondary,no,2320,yes,no,cellular,jul,0,6,54,2,unknown,1
81,entrepreneur,single,tertiary,no,-2477,no,no,cellular,feb,229,8,-1,3,failure,0
43,student,married,secondary,no,-3347,no,no,cellular,mar,293,5,-1,7,unknown,0
31,services,married,tertiary,no,3484,no,no,cellular,dec,229,11,9,2,unknown,1
44,retired,married,primary,no,804,no,no,cellular,mar,468,6,-1,0,unknown,1
19,admin.,single,secondary,no,-1627,yes,yes,cellular,feb,79,1,-1,3,unknown,0
26,technician,divorced,tertiary,no,742,no,no,telephone,nov,127,7,23,3,unknown,0
25,management,single,secondary,no,2001,yes,no,cellular,dec,239,3,-1,6,unknown,1
78,blue-collar,single,tertiary,no,1018,yes,no,cellular,oct,254,9,-1,7,unknown,0
74,retired,divorced,primary,no,-2214,no,no,cellular,feb,0,8,-1,0,unknown,0
72,technician,single,primary,no,5348,yes,no,cellular,nov,304,7,-1,7,unknown,1
54,retired,married,primary,no,3409,no,no,cellular,apr,255,6,56,7,failure,1
73,technician,single,primary,no,462,yes,no,cellular,jan,0,9,-1,1,unknown,1
30,blue-collar,married,primary,yes,551,no,no,cellular,dec,204,10,-1,3,unknown,0
88,blue-collar,married,secondary,no,1991,no,no,cellular,apr,107,13,-1,7,unknown,1
57,blue-collar,married,secondary,no,-1285,no,no,cellular,aug,157,14,-1,5,failure,0
91,retired,divorced,secondary,no,1910,yes,no,telephone,jan,33,2,-1,3,unknown,1
29,admin.,married,secondary,no,-1728,yes,no,cellular,mar,278,10,-1,7,unknown,0
56,admin.,married,primary,no,1045,yes,no,telephone,nov,467,2,-1,6,other,1
72,blue-collar,married,secondary,no,-1371,no,no,cellular,aug,257,6,-1,5,unknown,0
56,blue-collar,married,primary,no,-1260,yes,no,telephone,dec,0,11,11,0,unknown,0
52,student,married,tertiary,no,4821,no,no,cellular,mar,260,8,-1,6,unknown,1
30,technician,single,primary,no,1330,yes,no,cellular,nov,193,12,45,1,unknown,0
47,unknown,single,secondary,no,1656,yes,no,cellular,nov,66,13,-1,9,unknown,1
36,blue-collar,married,tertiary,no,-3225,yes,no,telephone,dec,270,14,-1,1,other,0
41,management,married,secondary,no,-113,no,no,cellular,jan,343,10,47,0,unknown,0
71,technician,married,secondary,no,2215,yes,no,cellular,feb,126,10,21,3,unknown,1
67,technician,married,secondary,no,1627,yes,no,telephone,jul,0,12,-1,3,unknown,0
65,entrepreneur,married,primary,no,-3539,no,no,cellular,feb,0,4,-1,3,unknown,0
46,self-employed,single,secondary,no,1656,yes,no,cellular,jan,127,5,22,9,unknown,0
92,entrepreneur,single,tertiary,no,2006,no,no,telephone,oct,198,5,-1,2,other,1
24,blue-collar,married,unknown,no,4024,yes,yes,cellular,sep,148,11,-1,8,unknown,1
44,blue-collar,married,secondary,no,-242,yes,no,telephone,nov,124,5,-1,1,other,0
27,management,married,secondary,no,-3733,yes,no,telephone,dec,300,2,18,6,unknown,0
44,blue-collar,married,tertiary,no,-993,yes,yes,telephone,feb,285,12,-1,1,unknown,0
93,management,divorced,secondary,no,-1214,no,yes,telephone,oct,248,11,-1,2,unknown,0
46,services,single,secondary,no,2821,yes,no,cellular,jan,334,9,50,1,failure,1
88,services,divorced,primary,no,-4777,no,yes,cellular,may,128,13,-1,3,unknown,0
56,student,divorced,primary,no,214,yes,no,cellular,apr,67,12,7,4,unknown,0
72,management,single,secondary,yes,4337,yes,no,telephone,mar,147,13,-1,8,unknown,1
53,admin.,divorced,primary,no,1216,yes,no,cellular,sep,137,4,-1,7,unknown,1
38,admin.,married,primary,no,3172,no,no,telephone,feb,0,2,-1,6,unknown,1
77,services,married,primary,no,-2412,no,no,cellular,oct,144,5,-1,4,success,0
93,technician,married,tertiary,no,-2324,yes,no,cellular,nov,375,12,-1,2,unknown,0
38,blue-collar,married,primary,no,4362,no,no,cellular,aug,332,13,31,2,unknown,1
78,technician,married,primary,no,1423,no,no,telephone,jan,294,2,-1,1,unknown,1
38,retired,married,secondary,no,1427,no,no,cellular,aug,238,12,-1,6,unknown,1
73,student,single,secondary,no,-1260,yes,no,cellular,aug,423,7,-1,7,unknown,0
79,services,single,unknown,no,1422,no,yes,cellular,may,72,12,-1,5,unknown,0
53,technician,married,tertiary,no,-1321,yes,no,cellular,may,85,10,-1,5,unknown,0
75,blue-collar,married,secondary,no,3811,yes,no,telephone,jun,377,1,-1,3,unknown,1
39,technician,single,secondary,no,7201,yes,no,cellular,dec,224,7,-1,9,failure,1
24,blue-collar,married,secondary,no,2265,no,no,cellular,jan,126,2,-1,8,unknown,1
25,services,married,primary,no,-197,no,no,cellular,jul,297,5,-1,4,unknown,0
52,management,married,secondary,no,-4374,no,no,cellular,apr,159,11,-1,7,unknown,0
88,admin.,married,primary,no,-2506,yes,no,cellular,jul,103,10,-1,3,unknown,0
27,admin.,married,primary,no,4621,yes,no,cellular,jan,99,10,-1,1,unknown,1
53,blue-collar,single,secondary,no,-1064,no,no,cellular,dec,265,10,51,2,unknown,0
72,entrepreneur,single,primary,no,384,no,no,cellular,jun,249,1,-1,8,unknown,0
33,services,single,primary,no,2642,no,no,cellular,dec,432,9,-1,4,unknown,1
74,blue-collar,married,secondary,no,4461,no,no,telephone,feb,179,7,19,8,unknown,1
41,entrepreneur,single,secondary,no,761,yes,yes,cellular,aug,177,8,-1,3,success,0
81,technician,single,primary,no,310,no,no,cellular,sep,422,3,50,4,success,1
63,technician,married,primary,no,1358,no,no,cellular,oct,358,10,-1,0,unknown,1
60,unemployed,single,primary,no,-181,no,yes,telephone,jan,240,9,38,7,unknown,0
31,admin.,married,secondary,yes,-62,no,no,cellular,aug,1,6,30,3,other,0
54,blue-collar,married,tertiary,no,2106,no,yes,telephone,feb,106,1,27,0,unknown,1
84,services,married,tertiary,no,1608,no,no,telephone,jun,72,1,-1,2,unknown,1
19,blue-collar,married,secondary,no,5890,no,no,telephone,jan,225,6,23,6,unknown,1
77,management,married,secondary,no,2165,no,no,telephone,jan,149,8,-1,8,success,1
56,blue-collar,married,tertiary,no,3733,yes,no,cellular,oct,444,14,-1,9,failure,1
74,admin.,married,secondary,no,-1157,yes,yes,telephone,sep,0,11,-1,2,unknown,0
69,blue-collar,divorced,primary,no,2355,no,no,telephone,nov,57,7,-1,5,unknown,1
51,technician,married,primary,no,-391,yes,yes,cellular,sep,254,5,46,4,unknown,0
42,blue-collar,married,secondary,no,2070,no,no,cellular,aug,293,3,7,7,unknown,1
66,blue-collar,married,secondary,no,2715,yes,yes,telephone,feb,0,2,-1,6,unknown,1
28,entrepreneur,divorced,primary,no,1310,yes,yes,cellular,oct,0,2,-1,0,unknown,0
63,blue-collar,married,secondary,no,6496,no,no,telephone,mar,183,13,-1,1,unknown,1
25,blue-collar,divorced,secondary,no,4342,no,yes,cellular,feb,410,1,-1,5,unknown,1
68,admin.,married,secondary,no,3790,yes,no,telephone,sep,484,13,9,5,unknown,1
67,blue-collar,married,secondary,no,2881,no,no,cellular,aug,162,9,-1,8,unknown,1
24,blue-collar,married,secondary,yes,5079,no,no,telephone,feb,196,9,7,8,failure,1
77,services,married,secondary,no,-1961,yes,no,cellular,jul,103,14,-1,0,unknown,0
50,blue-collar,single,secondary,no,4215,yes,no,telephone,sep,309,12,-1,5,unknown,1
79,entrepreneur,single,primary,no,-981,yes,no,cellular,jun,434,3,-1,4,unknown,0
21,unemployed,married,tertiary,no,-42,yes,no,cellular,sep,396,14,-1,4,other,0
31,admin.,divorced,secondary,no,2435,yes,no,cellular,jul,216,3,54,0,success,1
56,admin.,married,primary,no,3913,yes,no,cellular,may,103,8,47,8,unknown,1
32,admin.,married,secondary,no,-1338,yes,no,telephone,mar,221,9,31,1,unknown,0
43,services,married,tertiary,no,72,yes,no,cellular,apr,413,4,32,9,failure,0
69,blue-collar,married,tertiary,no,1415,yes,yes,cellular,oct,164,9,-1,9,unknown,0
29,entrepreneur,single,tertiary,no,790,yes,yes,telephone,may,0,9,-1,8,unknown,0
70,retired,married,secondary,no,3079,yes,yes,cellular,sep,170,14,16,1,failure,1
26,retired,married,secondary,no,8759,yes,no,cellular,may,181,13,-1,4,unknown,1
31,technician,married,secondary,no,2123,yes,no,cellular,jul,0,6,23,0,success,1
63,unknown,married,primary,no,-417,no,yes,cellular,aug,252,10,-1,6,unknown,0
79,admin.,married,secondary,no,-1652,yes,no,telephone,jun,291,12,30,8,success,0
31,technician,single,secondary,no,484,no,no,cellular,sep,480,1,-1,5,other,1
41,blue-collar,married,primary,no,-869,no,no,cellular,dec,33,10,22,0,unknown,0
90,housemaid,married,tertiary,no,2229,no,no,cellular,nov,322,13,-1,3,unknown,1
95,services,married,secondary,no,2194,yes,no,telephone,dec,355,2,-1,1,unknown,1
63,retired,married,primary,no,181,yes,no,cellular,jan,293,11,42,4,success,0
52,blue-collar,married,secondary,no,5567,no,no,telephone,oct,79,1,-1,3,unknown,1
45,self-employed,single,tertiary,no,-418,no,no,cellular,sep,71,6,-1,8,unknown,0
65,technician,divorced,tertiary,no,937,no,no,cellular,may,234,12,-1,2,failure,1
64,technician,married,secondary,no,2606,no,no,telephone,apr,233,14,-1,3,unknown,1
40,self-employed,divorced,unknown,no,3163,no,no,cellular,jan,142,11,-1,2,unknown,1
19,technician,married,tertiary,no,4011,yes,no,cellular,nov,401,11,-1,8,unknown,1
29,technician,single,tertiary,no,2143,no,no,cellular,nov,164,4,-1,2,other,1
92,services,single,tertiary,no,3512,no,no,telephone,jan,0,12,-1,9,unknown,1
50,blue-collar,single,secondary,no,-263,no,no,cellular,jul,189,10,34,6,success,0
55,blue-collar,single,tertiary,no,3220,yes,no,cellular,jul,287,14,-1,3,unknown,1
54,blue-collar,married,secondary,no,3190,yes,yes,cellular,mar,268,9,-1,5,success,1
79,admin.,married,tertiary,no,4528,no,no,telephone,jul,267,1,-1,1,unknown,1
23,entrepreneur,married,primary,no,-2471,no,no,cellular,oct,429,8,-1,9,unknown,0
24,services,married,tertiary,no,-796,yes,yes,cellular,apr,64,11,13,9,failure,0
39,blue-collar,single,unknown,no,3011,no,no,cellular,sep,161,12,-1,2,failure,1
55,technician,married,secondary,no,-4633,yes,no,cellular,dec,436,6,-1,1,unknown,0
70,technician,married,unknown,no,2282,yes,no,cellular,jun,0,3,-1,4,unknown,1
56,services,married,secondary,no,3532,yes,no,telephone,feb,212,13,26,7,unknown,1
52,unemployed,married,primary,no,-68,yes,no,cellular,apr,392,12,-1,6,unknown,0
91,unemployed,single,primary,no,254,no,no,cellular,feb,390,13,-1,0,unknown,0
30,technician,single,tertiary,no,-1163,no,no,cellular,may,312,10,-1,0,other,0
62,blue-collar,married,secondary,no,53,no,no,cellular,aug,316,12,57,2,unknown,0
60,technician,married,secondary,no,116,no,no,cellular,mar,74,6,-1,7,unknown,0
54,services,married,secondary,no,-302,no,no,cellular,jul,412,11,-1,2,unknown,0
80,technician,married,secondary,no,-423,yes,yes,cellular,dec,52,7,14,8,unknown,0
38,management,single,secondary,no,604,yes,no,telephone,apr,60,12,-1,2,unknown,0
92,services,married,tertiary,no,577,no,no,cellular,nov,274,3,-1,8,failure,0
43,blue-collar,married,secondary,no,5323,yes,no,cellular,apr,151,5,-1,9,unknown,1
60,blue-collar,married,tertiary,no,333,no,no,telephone,aug,249,4,57,7,unknown,0
58,technician,divorced,secondary,yes,1957,no,no,cellular,feb,280,6,-1,1,unknown,1
84,admin.,single,unknown,no,-69,no,no,cellular,apr,469,12,-1,0,unknown,0
52,blue-collar,married,secondary,no,-97,yes,no,cellular,nov,281,2,37,1,unknown,1
40,management,married,secondary,no,-2550,yes,no,telephone,aug,133,11,-1,6,unknown,0
19,technician,married,primary,no,-2257,yes,no,cellular,jul,315,12,-1,6,unknown,0
46,blue-collar,divorced,secondary,no,-1455,no,no,cellular,jul,104,10,-1,9,unknown,0
82,services,married,secondary,no,1604,no,no,cellular,mar,348,10,-1,9,unknown,1
18,retired,married,tertiary,no,3568,yes,no,cellular,dec,229,2,-1,3,unknown,1
87,blue-collar,divorced,secondary,no,-2731,no,no,cellular,may,276,9,-1,3,unknown,0
60,student,single,primary,no,-8,no,yes,cellular,jan,0,4,14,7,unknown,0
28,unemployed,married,secondary,no,-1807,no,no,telephone,nov,0,4,-1,7,unknown,0
41,services,married,unknown,no,619,no,no,telephone,jan,10,13,20,3,unknown,0
61,management,married,secondary,no,3567,yes,no,cellular,nov,464,9,-1,0,unknown,1
42,admin.,married,primary,no,217,no,no,cellular,apr,59,14,-1,0,unknown,0
26,housemaid,married,secondary,no,1095,yes,no,cellular,jan,323,7,4,8,unknown,0
69,technician,divorced,secondary,no,4402,yes,no,cellular,mar,130,6,-1,3,unknown,1
70,unemployed,divorced,secondary,no,2207,no,no,cellular,aug,186,14,-1,7,other,1
27,services,married,secondary,no,-472,no,no,cellular,jul,214,9,-1,8,unknown,0
39,admin.,single,secondary,no,1550,yes,no,telephone,feb,450,13,-1,8,unknown,1
37,admin.,married,secondary,no,-621,yes,no,cellular,apr,302,1,-1,4,unknown,0
69,management,married,secondary,no,2125,yes,no,cellular,mar,274,8,-1,6,unknown,1
74,services,single,primary,no,2334,no,yes,telephone,aug,402,12,30,1,unknown,1
74,admin.,married,tertiary,yes,-1808,yes,no,cellular,nov,131,12,-1,9,unknown,0
91,management,married,secondary,no,1585,yes,no,telephone,apr,370,11,-1,8,other,1
77,entrepreneur,married,secondary,no,941,no,no,telephone,nov,346,3,-1,3,unknown,0
43,technician,married,primary,no,2398,yes,no,cellular,may,345,8,-1,3,unknown,1
