age,income_usd,wealth_usd,risk_score,horizon_years,debt_to_income,market_vol,invest_risky
38,113286,409774,0.458,9,0.244,0.264,1
42,147966,99338,2.36,21,0.216,0.231,1
70,93800,285656,-0.615,29,0.523,0.176,1
31,182161,62512,2.124,29,0.108,0.119,1
34,105058,51628,0.768,23,0.215,0.251,1
41,122965,888367,1.34,24,0.452,0.173,1
70,59334,63393,-0.32,13,0.259,0.142,0
63,264844,420789,0.844,19,0.289,0.078,1
22,113832,166870,1.427,6,0.585,0.209,1
32,128549,102773,-1.087,16,0.334,0.157,1
62,40274,144069,-0.163,9,0.318,0.193,1
23,59648,46509,-2.141,28,0.222,0.187,0
63,167127,148155,-0.178,12,0.024,0.215,1
35,103882,56609,-0.816,12,0.025,0.19,1
66,34568,105081,-0.218,13,0.423,0.159,1
35,151253,344952,2.5,28,0.144,0.21,1
42,68574,188558,1.718,28,0.058,0.234,1
54,182266,39515,-1.439,13,0.234,0.27,1
27,86133,322781,0.556,30,0.411,0.11,1
48,99700,149045,0.799,23,0.229,0.244,1
46,162274,92081,-0.338,26,0.229,0.082,1
60,57459,293725,0.178,28,0.657,0.238,1
70,54783,129043,0.276,10,0.125,0.142,1
54,81578,52538,-1.347,17,0.076,0.227,1
41,136101,791290,-1.031,9,0.354,0.267,1
41,46264,147684,0.172,10,0.102,0.191,1
41,39087,139406,0.099,14,0.056,0.177,1
61,135866,104172,-0.709,2,0.399,0.174,1
37,66574,433809,-0.794,7,0.243,0.152,0
29,73973,93526,-0.09,25,0.425,0.247,1
37,35567,37343,0.886,5,0.197,0.174,1
22,64092,81437,-0.076,19,0.083,0.05,1
26,89660,495086,1.623,23,0.114,0.233,1
25,143308,317207,-0.696,8,0.486,0.23,1
59,61203,119238,0.193,14,0.313,0.183,1
57,206128,516236,-0.354,27,0.333,0.133,1
55,63914,294060,0.588,26,0.251,0.11,1
44,63960,118002,-0.782,28,0.124,0.133,1
56,194122,129194,1.927,19,0.282,0.192,1
29,100037,201748,-1.691,27,0.687,0.069,0
66,68292,70947,1.715,12,0.161,0.205,1
46,83283,150609,0.09,19,0.575,0.184,1
67,177035,198006,0.552,21,0.413,0.257,1
28,187337,32864,1.335,30,0.551,0.222,1
45,59824,126501,0.858,12,0.642,0.137,1
55,88111,114192,-0.73,27,0.149,0.079,1
45,94150,378379,0.6,16,0.084,0.131,1
43,54965,28519,1.867,4,0.417,0.263,1
29,87529,106408,-0.887,20,0.39,0.198,1
40,90240,97228,2.118,30,0.115,0.216,1
32,159161,355918,0.386,14,0.475,0.142,0
36,164601,144235,-0.433,17,0.366,0.209,1
55,76341,755304,-0.893,28,0.299,0.089,1
52,80869,272225,-0.223,28,0.092,0.236,1
51,125456,103693,-1.955,13,0.531,0.111,0
39,67169,186108,-0.415,23,0.677,0.062,1
68,120799,109068,-0.263,19,0.277,0.316,1
25,86130,325087,-1.074,20,0.306,0.188,1
38,55429,45225,0.748,22,0.236,0.186,1
26,55779,71472,-0.219,10,0.394,0.068,0
37,185553,226050,-0.636,10,0.037,0.217,1
69,83229,452061,-0.325,1,0.249,0.233,1
39,204381,20674,0.355,26,0.447,0.168,1
66,69616,516802,0.073,9,0.182,0.233,1
45,104106,132226,-0.701,21,0.518,0.25,1
55,297718,27526,0.126,21,0.643,0.212,1
43,53044,10065,-0.051,22,0.504,0.05,1
34,34845,37871,-1.139,26,0.276,0.111,1
59,171247,147363,-0.289,27,0.401,0.281,1
69,59526,141362,0.579,1,0.193,0.185,1
34,89073,265208,0.572,26,0.765,0.185,1
59,67145,91478,-0.23,7,0.098,0.13,0
34,102914,55335,0.677,20,0.672,0.142,1
56,55955,103426,-0.98,21,0.498,0.252,1
60,82256,154607,-0.949,2,0.128,0.27,0
43,112699,184626,-0.251,9,0.449,0.228,1
57,54361,73728,1.498,28,0.309,0.213,1
34,63419,337626,0.163,5,0.237,0.218,1
24,75650,85745,-0.275,7,0.231,0.176,1
25,44053,68572,1.544,3,0.24,0.108,1
43,72859,92064,-0.287,6,0.317,0.095,1
66,95508,394647,2.235,20,0.619,0.259,1
27,73702,133102,-0.511,26,0.049,0.178,1
43,78580,80284,-1.012,18,0.103,0.209,1
56,89109,345203,-0.166,9,0.08,0.193,1
31,64841,1031850,-0.249,26,0.501,0.196,1
57,127147,181154,-0.808,12,0.314,0.201,1
36,184528,455362,2.5,10,0.129,0.222,1
61,71352,381117,0.319,16,0.259,0.134,1
49,114710,86970,0.464,5,0.365,0.251,1
48,79838,153639,-0.462,11,0.125,0.136,1
29,108046,47292,-0.578,24,0.307,0.194,1
44,196901,124734,1.026,19,0.349,0.109,1
63,116064,85376,-1.676,30,0.03,0.17,1
21,37081,104380,-1.143,24,0.423,0.14,1
58,112934,76381,-0.247,11,0.543,0.181,1
45,166708,115844,1.351,24,0.388,0.224,1
56,80561,242171,-0.375,26,0.195,0.185,1
54,148061,134706,0.416,19,0.28,0.298,1
42,63736,28014,0.028,23,0.159,0.228,1
36,42821,76641,1.296,16,0.372,0.166,1
52,96582,38213,-1.585,28,0.504,0.175,1
28,37396,186847,0.736,8,0.175,0.203,1
50,79832,235950,-0.199,13,0.314,0.222,1
25,171268,188959,0.925,8,0.266,0.106,1
53,34637,73845,-0.819,4,0.369,0.218,1
52,47468,187317,0.024,19,0.434,0.108,1
25,53720,98252,-0.103,4,0.278,0.212,1
58,87195,53852,-1.002,7,0.126,0.246,0
41,74960,292473,-1.28,23,0.184,0.198,1
60,181160,313206,-0.58,8,0.283,0.05,1
23,145036,352356,0.13,26,0.396,0.073,1
29,115289,86758,-0.757,2,0.578,0.214,1
45,96798,433574,-0.33,14,0.659,0.05,1
30,109555,96198,-1.886,3,0.094,0.217,1
37,58488,270098,-0.371,2,0.49,0.239,1
54,138160,94709,1.024,24,0.283,0.248,1
28,51614,122615,0.705,3,0.727,0.166,1
54,136660,16972,-0.087,27,0.24,0.206,1
26,162858,114310,0.244,18,0.409,0.193,1
29,100007,162815,-0.828,15,0.414,0.092,1
50,82410,103709,1.624,28,0.291,0.225,1
60,109943,728658,2.068,12,0.442,0.263,1
29,21521,52689,0.165,12,0.044,0.221,1
35,104683,90325,2.5,13,0.169,0.15,1
67,85041,66437,-0.68,20,0.23,0.224,1
70,87750,90309,-1.251,26,0.193,0.258,1
50,128134,379520,-0.71,17,0.14,0.25,1
43,86698,567286,-0.219,9,0.12,0.242,1
38,50892,79832,2.312,27,0.485,0.084,1
51,83857,78252,-0.281,18,0.341,0.204,1
50,93092,52943,-0.86,25,0.055,0.219,0
35,95324,486041,-0.898,13,0.287,0.242,1
22,97589,411389,1.14,6,0.198,0.211,1
28,151335,136354,0.997,29,0.341,0.273,1
68,52289,42698,-0.485,21,0.724,0.07,1
41,98264,46277,-1.876,10,0.125,0.214,1
45,171533,174898,-1.129,26,0.167,0.209,1
44,37807,245928,1.721,1,0.173,0.234,1
60,98458,23362,0.689,28,0.184,0.273,1
24,67163,112332,0.065,18,0.071,0.127,1
25,74773,643616,1.869,18,0.324,0.271,1
34,57249,123332,1.958,1,0.171,0.229,1
45,82685,573243,-0.036,6,0.258,0.169,1
54,225978,269018,-0.018,22,0.183,0.125,1
45,47827,56531,-0.582,17,0.717,0.192,1
43,50149,115265,-0.285,4,0.346,0.197,1
67,46939,133595,-1.486,20,0.343,0.2,1
29,213475,63648,-1.49,23,0.424,0.142,1
49,71424,62662,-1.723,9,0.319,0.217,0
48,88854,582149,1.084,21,0.756,0.156,1
44,73583,62241,-1.561,30,0.343,0.253,1
61,56126,395926,1.95,15,0.175,0.283,1
34,80017,101271,-0.73,7,0.219,0.131,0
68,307640,146578,1.737,29,0.527,0.184,1
37,180521,248712,-0.365,28,0.136,0.238,1
48,58753,87526,-1.566,14,0.03,0.197,0
47,124412,250072,1.284,13,0.168,0.099,1
63,59385,23780,1.402,26,0.517,0.232,1
42,37026,222822,-0.906,1,0.404,0.144,0
35,149840,16264,-0.332,10,0.415,0.192,0
22,160751,122300,-0.906,17,0.086,0.12,1
39,151841,323582,-0.121,20,0.076,0.228,1
62,71156,262618,0.108,19,0.136,0.155,1
21,82799,46622,-0.351,12,0.375,0.234,1
65,130934,52349,-1.819,27,0.374,0.167,1
48,109460,80707,-0.581,20,0.056,0.151,1
28,73921,177369,0.704,17,0.34,0.205,1
36,40056,24092,-0.209,29,0.474,0.116,1
48,95273,148225,-0.327,3,0.7,0.288,1
36,154364,198526,-0.931,22,0.232,0.191,1
26,49453,116268,-0.61,28,0.104,0.146,1
54,123865,240669,1.409,20,0.211,0.156,1
54,106227,183458,-1.14,17,0.275,0.181,1
26,130959,92125,0.721,11,0.691,0.24,1
35,139184,26260,0.047,9,0.111,0.126,1
33,63598,169137,0.245,17,0.56,0.158,1
53,40098,63616,-0.732,27,0.248,0.177,1
57,68927,89133,-0.352,14,0.348,0.273,1
57,140383,230868,-0.006,4,0.265,0.24,0
67,68635,537127,-0.521,15,0.912,0.275,1
59,63611,144949,0.331,3,0.275,0.182,0
37,36203,246977,0.457,29,0.067,0.266,1
26,216185,40878,2.173,17,0.332,0.256,1
51,136002,187093,0.278,7,0.257,0.222,1
66,132258,142127,-1.912,19,0.194,0.227,1
69,146010,453475,1.163,17,0.18,0.144,1
32,120081,92224,-0.204,16,0.373,0.29,1
32,79650,120682,2.012,18,0.589,0.165,1
22,82924,388996,1.471,28,0.137,0.214,1
28,72677,138076,-0.505,26,0.157,0.221,1
48,336023,55295,0.722,8,0.403,0.098,1
48,118839,1490855,-0.594,8,0.441,0.177,1
39,71372,56821,0.003,30,0.509,0.192,1
36,113586,141515,0.676,20,0.146,0.173,1
62,54292,204927,1.113,1,0.378,0.178,0
44,190960,190851,0.895,16,0.35,0.27,1
61,64669,126452,0.075,4,0.27,0.13,1
69,115625,127021,2.483,1,0.523,0.104,1
36,153362,121413,-0.365,6,0.308,0.145,1
31,109092,54943,-1.607,8,0.104,0.225,1
68,94353,1038812,-1.415,3,0.594,0.231,1
52,90487,123056,1.474,26,0.087,0.216,1
35,87496,256691,-0.077,14,0.276,0.235,1
52,67455,110991,0.159,17,0.518,0.195,1
46,71885,109000,-0.543,26,0.233,0.149,1
66,188596,99558,-0.453,26,0.123,0.123,1
33,85246,37180,-0.787,25,0.223,0.104,1
70,60759,129811,0.471,6,0.499,0.166,1
67,69523,103994,-0.097,23,0.134,0.227,1
30,156022,430526,0.435,30,0.4,0.194,1
29,126168,51091,0.339,1,0.418,0.181,1
47,119101,89229,-0.426,27,0.22,0.117,1
23,79127,66822,-1.459,26,0.257,0.335,0
35,119880,549447,-1.546,26,0.554,0.13,1
42,65237,68591,2.5,12,0.594,0.187,1
69,79044,248814,1.478,6,0.345,0.24,1
70,146161,359165,1.34,22,0.478,0.183,1
28,139344,131515,-0.675,19,0.249,0.132,1
65,55084,43445,0.01,22,0.018,0.229,1
25,58677,43943,-0.815,8,0.141,0.1,1
58,95027,325194,-1.312,6,0.027,0.285,0
63,213338,48236,-0.589,28,0.259,0.197,1
65,34537,213462,1.326,16,0.029,0.165,1
32,103438,166259,0.841,26,0.09,0.095,1
65,45231,210620,-0.97,28,0.224,0.111,1
26,65539,229307,-0.315,14,0.67,0.177,1
46,75008,64737,0.749,8,0.415,0.294,1
44,72934,62344,-0.571,27,0.265,0.194,1
36,68918,285451,0.08,22,0.4,0.201,1
22,90325,85134,0.402,20,0.217,0.203,1
59,68867,12623,0.391,29,0.499,0.322,1
37,43319,268947,0.254,8,0.05,0.154,1
54,132920,59027,-0.654,11,0.319,0.274,1
41,131137,228391,-0.551,2,0.391,0.156,1
39,137194,525408,-1.134,12,0.227,0.138,1
65,41656,152280,-1.561,14,0.265,0.175,0
25,104509,367537,-0.115,14,0.342,0.175,1
57,126191,172268,0.816,5,0.062,0.214,1
58,53743,625982,-1.38,25,0.655,0.05,1
39,90414,57670,0.273,15,0.101,0.189,1
34,84917,148895,0.785,14,0.509,0.144,1
21,226079,274920,-1.837,26,0.382,0.137,1
67,235582,126376,-0.271,15,0.067,0.102,1
68,39159,423110,1.646,27,0.097,0.158,1
33,313178,101677,0.552,7,0.117,0.149,1
22,56951,965909,-1.87,26,0.167,0.154,1
27,146958,1012941,0.658,30,0.179,0.082,1
24,146212,193350,-0.748,23,0.597,0.186,1
62,54706,246651,0.691,27,0.177,0.133,1
65,115174,438403,-0.69,23,0.146,0.082,1
28,85289,51530,-0.053,19,0.11,0.147,1
58,118745,46055,-0.538,23,0.511,0.134,1
29,101003,464709,0.003,29,0.08,0.182,1
39,163691,191948,-0.567,19,0.532,0.146,1
50,93458,122337,-0.224,21,0.601,0.093,1
56,82754,151509,-1.176,3,0.191,0.127,0
64,155686,17517,0.491,29,0.463,0.076,1
23,120302,126359,0.175,24,0.261,0.248,1
30,129764,76164,-1.617,5,0.102,0.258,1
35,64555,342715,0.993,9,0.317,0.265,1
36,53366,367294,-0.176,7,0.419,0.145,1
70,67758,252055,0.162,10,0.429,0.258,1
59,65983,214122,0.765,27,0.265,0.204,1
37,133341,38979,0.328,14,0.041,0.131,1
69,146614,255242,1.165,13,0.049,0.142,1
45,83283,264302,-0.293,24,0.198,0.17,1
46,184061,460038,1.034,12,0.458,0.186,1
42,178403,1009312,0.123,27,0.157,0.202,1
28,101647,32699,0.508,23,0.299,0.18,1
67,59672,105742,0.404,8,0.213,0.159,1
21,197848,76907,1.241,19,0.144,0.261,1
29,87296,175194,0.721,15,0.211,0.173,1
32,95860,151820,-0.443,11,0.363,0.17,1
34,75945,121506,-0.641,28,0.075,0.167,1
27,57680,378221,-0.05,12,0.125,0.173,1
21,43185,55666,-0.76,4,0.486,0.098,0
54,123500,58770,-1.052,13,0.081,0.12,1
69,60832,59670,-2.128,16,0.368,0.327,1
27,415539,108456,-1.549,4,0.158,0.081,1
35,52288,49645,1.985,23,0.083,0.196,1
46,47996,143584,-0.657,7,0.277,0.201,1
67,116150,129243,1.903,3,0.447,0.241,1
55,193343,73904,0.403,17,0.098,0.202,1
59,92954,329318,-0.05,5,0.394,0.293,1
50,119813,142179,-1.501,24,0.12,0.194,0
41,35803,390340,0.005,3,0.351,0.261,1
30,64139,125850,1.892,13,0.346,0.242,1
64,52615,146769,1.558,2,0.248,0.273,1
61,34893,90390,0.274,12,0.339,0.181,0
22,95421,149052,-1.149,28,0.05,0.204,1
56,29324,284759,-0.957,20,0.06,0.158,1
25,46466,103589,-0.853,17,0.083,0.19,0
57,68801,239178,1.278,5,0.213,0.193,1
62,59392,72180,1.632,10,0.547,0.055,1
27,109729,297014,0.196,12,0.297,0.171,1
42,104857,89007,-0.303,18,0.421,0.233,1
27,140711,322837,1.549,7,0.215,0.099,1
49,131105,158462,-0.979,30,0.055,0.121,1
67,159209,589629,0.052,20,0.216,0.249,1
25,89914,53089,0.463,10,0.296,0.261,1
40,104746,39729,-0.863,4,0.404,0.143,1
69,116229,86146,-0.636,18,0.249,0.19,1
36,96606,43142,-0.714,14,0.168,0.175,1
27,73789,43214,1.417,21,0.078,0.251,1
45,76217,262442,1.914,18,0.36,0.148,1
46,59801,149437,0.115,20,0.163,0.157,1
54,111121,97409,-0.268,26,0.167,0.26,1
36,85867,105887,-0.6,16,0.304,0.12,1
68,64601,87630,0.002,22,0.415,0.15,1
47,64631,662465,-0.55,11,0.205,0.188,1
35,49137,77376,-0.097,29,0.087,0.271,1
69,146823,45637,0.413,13,0.163,0.108,1
67,93608,307072,-0.405,21,0.271,0.137,1
45,58464,123526,-0.19,30,0.244,0.216,1
22,134839,939673,-0.185,11,0.164,0.225,1
50,68005,93415,-0.318,4,0.101,0.193,1
48,44548,321186,-0.441,7,0.303,0.173,1
28,149968,397269,0.762,8,0.221,0.188,1
52,68804,93825,-1.771,2,0.458,0.09,0
63,73359,76862,1.574,17,0.056,0.186,1
26,91872,292325,0.136,9,0.212,0.269,1
57,159350,251650,0.61,3,0.298,0.101,1
28,90906,42144,0.725,5,0.242,0.133,0
58,49415,54328,-0.708,9,0.325,0.156,1
41,118126,15300,-0.914,12,0.176,0.16,1
21,70620,256335,-1.032,30,0.171,0.29,1
69,231313,118509,-0.247,22,0.481,0.124,1
29,89950,129632,0.699,22,0.304,0.112,1
50,29438,32731,-0.584,21,0.408,0.226,1
30,107608,55832,0.608,25,0.472,0.141,1
67,237961,97560,-2.368,10,0.244,0.227,0
57,197902,81904,-0.386,3,0.333,0.168,1
61,224817,166782,1.167,16,0.195,0.208,1
42,54051,253600,-0.171,1,0.489,0.086,1
44,142008,1156654,-0.829,7,0.017,0.207,1
52,62728,147322,-0.657,23,0.113,0.193,1
60,100681,409320,-2.5,16,0.355,0.165,1
63,47624,71070,-1.012,21,0.417,0.106,1
21,65208,33221,1.057,16,0.338,0.193,1
54,64180,109242,-0.583,17,0.281,0.223,1
26,141046,35612,-0.465,10,0.279,0.148,1
35,134313,151994,-2.332,7,0.374,0.149,1
62,103360,74309,-1.631,8,0.275,0.228,1
33,45814,25837,1.19,24,0.405,0.283,1
60,77014,715555,0.617,30,0.388,0.236,1
44,61976,92465,-1.297,3,0.377,0.194,1
32,139024,34356,-0.631,17,0.415,0.165,1
37,162212,336632,-0.029,15,0.222,0.178,1
47,152628,77858,-1.196,17,0.274,0.1,1
59,61695,400128,-2.004,7,0.265,0.171,0
51,22875,77523,-0.159,1,0.351,0.247,0
67,37201,92188,0.573,7,0.056,0.182,0
64,183208,204585,0.592,6,0.296,0.142,1
58,73640,255835,0.875,2,0.448,0.137,0
51,61834,299547,-1.554,11,0.388,0.178,1
35,204617,138361,0.058,21,0.387,0.106,1
41,169421,241384,-0.268,29,0.324,0.125,1
26,91107,293448,-0.087,20,0.373,0.272,1
39,77720,179675,-0.212,6,0.124,0.118,1
67,84248,131926,-0.66,11,0.535,0.132,1
42,100825,40848,-2.5,10,0.036,0.197,0
26,200303,257210,1.162,7,0.467,0.153,1
53,111168,155803,0.33,30,0.029,0.185,1
69,129389,103377,-1.484,20,0.542,0.232,1
64,161490,473724,0.473,15,0.354,0.087,1
34,50148,41496,-0.447,14,0.273,0.225,1
43,131268,658700,-0.419,10,0.307,0.145,1
47,77674,147023,-0.768,13,0.277,0.163,1
33,25579,199617,0.537,20,0.017,0.295,1
34,31054,105119,-0.8,28,0.244,0.096,1
32,54095,33457,-1.097,15,0.36,0.215,1
70,117381,132289,1.132,6,0.608,0.248,1
58,95269,202736,-0.179,29,0.27,0.139,1
63,98691,275679,-0.147,10,0.211,0.14,0
61,238718,125513,0.692,3,0.033,0.158,1
68,47716,20850,-0.668,17,0.177,0.139,1
26,88774,37455,-0.468,24,0.261,0.184,1
65,104797,950942,0.306,8,0.376,0.234,1
24,62282,56112,-1.541,9,0.132,0.158,1
44,91284,541845,0.221,9,0.476,0.236,1
50,40441,64713,-0.756,25,0.317,0.264,1
38,182138,127285,0.855,29,0.237,0.206,1
28,64008,263308,0.547,26,0.516,0.212,1
30,248517,71698,0.415,7,0.254,0.144,1
62,88550,628684,-1.607,26,0.477,0.05,1
36,150481,160580,-0.103,10,0.34,0.215,1
36,87633,227102,-1.177,27,0.291,0.228,1
67,88627,117894,-0.037,30,0.239,0.195,1
28,67208,271370,-2.315,22,0.078,0.235,1
66,95523,621135,-1.541,29,0.068,0.147,1
67,105510,133283,1.189,5,0.258,0.211,1
50,60806,711501,0.369,20,0.299,0.268,1
29,84545,86505,-0.354,2,0.153,0.22,1
28,66338,298366,-0.909,20,0.373,0.261,1
35,284190,232953,-1.084,11,0.071,0.261,1
49,86051,57335,0.2,30,0.221,0.107,1
28,194888,181829,-0.344,15,0.364,0.223,1
43,81614,150998,1.547,23,0.322,0.142,1
26,102458,69600,-0.185,10,0.178,0.114,1
48,46485,207025,0.059,3,0.304,0.163,1
22,71972,171108,-1.389,23,0.117,0.285,1
56,99991,140514,-0.361,7,0.416,0.147,1
23,198902,141022,0.177,22,0.364,0.075,1
30,100565,138328,-0.373,14,0.238,0.093,1
29,179768,107738,-0.486,30,0.122,0.209,1
62,123987,170117,0.327,11,0.227,0.134,1
23,203062,84025,1.515,13,0.511,0.057,1
42,87382,1638873,0.145,23,0.118,0.096,1
50,297353,42192,1.144,24,0.247,0.19,1
46,70606,88621,0.622,4,0.013,0.227,1
55,61349,95151,1.084,23,0.464,0.153,1
61,49145,941128,-0.61,15,0.413,0.219,1
40,288681,45719,-0.207,30,0.225,0.235,1
62,135576,220074,-0.203,19,0.391,0.133,1
36,76153,187577,0.546,24,0.426,0.173,1
70,168060,202528,0.792,11,0.188,0.144,1
46,126933,456388,0.125,9,0.31,0.212,1
57,240537,448040,0.877,24,0.213,0.143,1
64,41508,99960,-0.563,1,0.432,0.107,1
60,78817,178618,0.885,18,0.119,0.183,1
63,71418,28021,1.016,30,0.495,0.247,1
47,33548,163992,0.677,30,0.166,0.211,0
23,152929,73409,0.134,22,0.115,0.24,1
45,78619,126836,0.713,15,0.512,0.235,1
30,130272,32911,-0.894,25,0.407,0.183,1
65,292860,215944,0.198,1,0.354,0.144,1
32,75429,32581,0.301,24,0.312,0.128,1
